BPL,ID HK,NQR,P/W,LN,Lernort,ID LK,Beschreibung LK,ID LFE,Handlungsnotwendiges Wissen,Abfolge,Lektionen,ID LZ,Beschreibung LZ,Taxonomie LZ,Semester,Note zu HKB
ET,9999 a.02,NQR 5,P,LN 3,BFS,KR a2 09,"Sie beurteilen ökologische Ansätze, sowie Technologien zur Ökologie und deren Anwendungsgebiete.",LFB_Hs_Mü,,,,LZ_9133,Sie bewerten ökologische Ansätze und Technologien hinsichtlich ihrer Effektivität in der Produktentwicklung und dokumentieren ihre Ergebnisse.,K4,4. Sem.,1
ET,9999 d.01,NQR 4,P,LN 3,BFS,MEM 02 11,Sie dokumentieren Informationen zu ihrer Arbeit.,LFB_MEM_PLG1,"MS-Office, Visualisieren, Instandhaltung, Prüfprotokoll, Prozessablauf, Diagramme",1,4,LZ_9155,Sie erkennen die Optimierung von Arbeitsschritten und visualisieren dies in einem Prozessablauf.,K4,2. Sem.,1
ET,9999 d.01,NQR 4,P,LN 3,BFS,MEM 02 11,Sie dokumentieren Informationen zu ihrer Arbeit.,LFB_MEM_PLG1,,,,LZ_9156,Sie visualisieren die Abfolge von Arbeitsschritte in einem Prozessdiagramm.,K3,2. Sem.,1
ET,9999 d.01,NQR 4,P,LN 3,BFS,MEM 02 11,Sie dokumentieren Informationen zu ihrer Arbeit.,LFB_MEM_PLG1,,,,LZ_7905,Sie planen einen Instandhaltungsauftrag unter Anleitung und bereiten Schutzmassnahmen vor.,K3,2. Sem.,1
ET,9999 d.01,NQR 4,P,LN 3,BFS,MEM 02 11,Sie dokumentieren Informationen zu ihrer Arbeit.,LFB_MEM_PLG1,,,,LZ_7915,Sie dokumentieren die Ergebnisse von Inspektionen in vorgegebenen Prüfprotokollen.,K3,2. Sem.,1
ET,9999 a.01,NQR 4,P,LN 2,BFS,MEM 02 12,Sie interpretieren definierte Prozesse.,LFB_MEM_PLG2,"Prozessabläufe, Lesetechnik",1,1,LZ_9003,Sie interpretieren vorgegebene Arbeitsaufträge und Vorgaben.,K2,2. Sem.,1
ET,9999 a.01,NQR 4,P,LN 3,BFS,MEM 02 13,Sie erfassen relevante Informationen für neue Prozesse.,LFB_MEM_PLG2,Prozessdarstellungen,2,1,LZ_9157,Sie erkennen das Vorgehen und die Abfolge von Arbeitsschritten bei Aufträgen.,K2,2. Sem.,1
ET,9999 a.01,NQR 4,P,LN 4,BFS,MEM 02 14,Sie gestalten Prozessabläufe und erstellen geeignete Prozessdokumente.,LFB_MEM_PLG2,"MS-Office, Visualisieren, Diagramme",3,2,LZ_9155,Sie erkennen die Optimierung von Arbeitsschritten und visualisieren dies in einem Prozessablauf.,K4,2. Sem.,1
ET,9999 d.01,NQR 4,P,LN 3,BFS,MEM 02 10,Sie verwenden geeignete Werkzeuge zur Dokumentation ihrer Arbeit.,LFB_MEM_PLG3,"MS-Office, Dokumentieren, Visualisieren, Prozessabläufe, -schritte",1,1,LZ_9012,Sie beurteilen unterschiedliche Dokumentationsarten.,K2,2. Sem.,1
ET,9999 d.01,NQR 4,P,LN 3,BFS,MEM 02 10,Sie verwenden geeignete Werkzeuge zur Dokumentation ihrer Arbeit.,LFB_MEM_PLG3,,,,LZ_9164,Sie visualisieren die Abfolge von Arbeitsschritte in einem Prozessdiagramm.,K3,2. Sem.,1
